Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,FILM    9,KANIN J D,31,19,,1,7,,1,,2,,12,73
,,FILM    9 Total,,31,19,,1,7,,1,,2,,12,73
,,FILM   10,MANOJLOVIC M,15,1,,,4,,,,1,,4,25
,,FILM   10 Total,,15,1,,,4,,,,1,,4,25
,,FILM   11,POIRIER N P,12,8,3,2,,,3,,,,3,31
,,FILM   11 Total,,12,8,3,2,,,3,,,,3,31
,,FILM   20,BARTESAGHI S,40,2,,,,,,,,,2,44
,,,MATTHEWS M N,21,2,,2,,,1,,,,3,29
,,,PETRELLA R J,13,23,9,1,3,,,,,,11,60
,,,ROSENTHAL L,22,1,,,1,,,,,,4,28
,,FILM   20 Total,,96,28,9,3,4,,1,,,,20,161
,,FILM   21,BARTESAGHI S,55,,,,,,,,,,2,57
,,,BIRNBAUM M J,7,7,5,,2,,,,,,5,26
,,FILM   21 Total,,62,7,5,,2,,,,,,7,83
,,FILM   30,DANIELS R,41,5,4,3,,,,,,,11,64
,,FILM   30 Total,,41,5,4,3,,,,,,,11,64
,,FILM   32,CARRASCO S,27,2,,,,,,,,,2,31
,,FILM   32 Total,,27,2,,,,,,,,,2,31
,,FILM   32L,CARRASCO S,26,2,,,,,,,,,2,30
,,FILM   32L Total,,26,2,,,,,,,,,2,30
,,FILM   33,CARRASCO S,34,,,,,,,,,,1,35
,,FILM   33 Total,,34,,,,,,,,,,1,35
,,FILM   33L,CARRASCO S,34,,,,,,,,,,2,36
,,FILM   33L Total,,34,,,,,,,,,,2,36
,,FILM   40,SOLANKI V M,38,6,4,1,2,,,,2,,10,63
,,FILM   40 Total,,38,6,4,1,2,,,,2,,10,63
,,FILM   50,PLATT H H,3,11,7,1,,,5,,,,3,30
,,FILM   50 Total,,3,11,7,1,,,5,,,,3,30
,,FILM   88A,MUNOZ M E,3,,,,,,,,,,,3
,,FILM   90A,MUNOZ M E,,,,,,,,,1,,1,2
,,FILM   90A Total,,,,,,,,,,1,,1,2
,FILM Total,,,762,259,92,35,55,,24,1,8,,160,1396
,GLOBAL,GLOBAL  3,MOVIUS L,8,2,,,1,,,,1,,,12
,,GLOBAL  3 Total,,8,2,,,1,,,,1,,,12
,GLOBAL Total,,,8,2,,,1,,,,1,,,12
,JOURN,JOURN   1,BLAIZE‐HOPKINS A N,3,3,1,,5,,,,,,11,23
,,,OBSATZ S B,31,4,1,,9,,,,,,5,50
,,,RUBIN S M,10,8,3,2,5,,,,,,9,37
,,JOURN   1 Total,,44,15,5,2,19,,,,,,25,110
,,JOURN   2,OBSATZ S B,14,,,,,,,,,,3,17
,,JOURN   2 Total,,14,,,,,,,,,,3,17
,,JOURN   4A,GIGGANS J H,2,1,,,4,,,,,,,7
,,JOURN   4A Total,,2,1,,,4,,,,,,,7
,,JOURN  15,RUBIN S M,11,4,1,2,6,,,,,,18,42
,,JOURN  15 Total,,11,4,1,2,6,,,,,,18,42
,,JOURN  16,BLAIZE‐HOPKINS A N,16,4,1,1,1,,,,1,,4,28
,,JOURN  16 Total,,16,4,1,1,1,,,,1,,4,28
,,JOURN  17,BLAIZE‐HOPKINS A N,5,,,,,,,,,,,5
,,JOURN  17 Total,,5,,,,,,,,,,,5
,,JOURN  21,BURKHART G J,1,,,,,,,,,,3,4
,,JOURN  21 Total,,1,,,,,,,,,,3,4
,,JOURN  22,BURKHART G J,6,2,,,3,,,,,,1,12
,,JOURN  22 Total,,6,2,,,3,,,,,,1,12
,,JOURN  43,ADELMAN A,2,7,,,1,,,,,,,10
,,JOURN  43 Total,,2,7,,,1,,,,,,,10
,JOURN Total,,,101,33,7,5,34,,,,1,,54,235
,MEDIA,MEDIA   1,BLAIZE‐HOPKINS A N,7,8,5,2,2,,,,,,9,33
,,,BREWER S L,47,15,12,2,,,,1,,,8,85
,,,BREWINGTON R H,35,11,3,2,7,,,,,,5,63
,,,CAPTOR R,3,10,5,2,,,,,,,4,24
,,,CHARLES H E,34,20,7,6,3,,,,,,10,80
,,,CHICAS H K,26,12,4,,3,,,,,,5,50
,,,DICKINSON L M,29,16,5,3,4,,,1,,,3,61
,,,MOVIUS L,95,10,5,2,4,,,,,,2,118
,,,RAZ J G,16,10,4,,,,,,,,2,32
,,,SHAW R D,16,4,4,,4,,,,,,6,34
,,,STAMBLER L S,20,7,3,,,,,,,,,30
,,MEDIA   1 Total,,361,131,58,20,36,,,2,1,,66,675
,,MEDIA   2,SAXON L N,14,5,5,1,,,,,,,1,26
,,,SCHOFIELD J E,,,,,,,,,,14,5,19
,,MEDIA   2 Total,,14,5,5,1,,,,,,14,6,45
,,MEDIA   3,MOVIUS L,28,9,3,,,,,,1,,4,45
,,MEDIA   3 Total,,28,9,3,,,,,,1,,4,45
,,MEDIA   4,CHICAS H K,26,6,1,,,,,,,,2,35
,,,RAZ J G,16,12,4,2,1,,,,,,1,36
,,MEDIA   4 Total,,42,18,5,2,1,,,,,,3,71
,,MEDIA  10,BREWER S L,21,6,,,,,,,,,,27
,,,DICKINSON L M,23,7,3,,3,,,,,,6,42
,,,GOLDSTEIN MARTIN M,33,6,1,3,9,,,,,,2,54
,,,GOUGIS M J,42,11,8,3,10,,,,3,,16,93
,,,OBSATZ S B,78,4,,,,,,,1,,2,85
,,,PERNISCO N,40,8,2,3,10,,,,,,8,71
,,,RAZ J G,9,11,7,3,4,,,,,,3,37
,,,SCHOFIELD J E,26,9,12,4,3,,,,1,,13,68
,,,STAMBLER L S,26,4,,,2,,,,1,,,33
,,MEDIA  10 Total,,298,66,33,16,41,,,,6,,50,510
,,MEDIA  11,SHAW R D,6,7,5,,1,,1,,,,5,25
,,MEDIA  11 Total,,6,7,5,,1,,1,,,,5,25
,,MEDIA  12,GIGGANS J H,5,4,4,,11,,,,,,3,27
,,MEDIA  12 Total,,5,4,4,,11,,,,,,3,27
,,MEDIA  13,BREWINGTON R H,7,3,3,1,5,,,,1,,7,27
,,MEDIA  13 Total,,7,3,3,1,5,,,,1,,7,27
,,MEDIA  14,GIGGANS J H,3,4,,,1,,,,2,,1,11
,,MEDIA  14 Total,,3,4,,,1,,,,2,,1,11
,,MEDIA  17,CARLUCCI M A,12,,,,2,,1,,1,,7,23
,,MEDIA  18,ADELMAN A,3,6,2,,3,,,,,,4,18
,,MEDIA  18 Total,,3,6,2,,3,,,,,,4,18
,,MEDIA  19,PRESCOTT P N,7,9,3,,2,,,,,,2,23
,,MEDIA  19 Total,,7,9,3,,2,,,,,,2,23
,,MEDIA  20,SHAW R D,12,2,1,,2,,2,,3,,4,26
,,MEDIA  20 Total,,12,2,1,,2,,2,,3,,4,26
,,MEDIA  21,CAPTOR R,9,3,1,,1,,1,,,,12,27
,,,STOWELL R,19,,,,,,,,,,1,20
,,MEDIA  21 Total,,28,3,1,,1,,1,,,,13,47
,,MEDIA  46,CAREY R T,20,,,,,,,,,,,20
,,,FETZER G C,12,6,3,2,3,,,,1,,4,31
,,MEDIA  46 Total,,32,6,3,2,3,,,,1,,4,51
,,MEDIA  48,SHAW R D,4,1,1,,,,1,,,,6,13
,,MEDIA  48 Total,,4,1,1,,,,1,,,,6,13
,,MEDIA  88A,MUNOZ M E,7,,,,,,,,,,1,8
,,MEDIA  88A Total,,7,,,,,,,,,,1,8
,,MEDIA  88B,MUNOZ M E,1,,,,,,,,,,1,2
,,MEDIA  88B Total,,1,,,,,,,,,,1,2
,MEDIA Total,,,870,274,127,42,109,,6,2,16,14,187,1647
,PHOTO,PHOTO  13,BURKHART G J,6,4,,,,,,,,,5,15
,,PHOTO  13 Total,,6,4,,,,,,,,,5,15
,,PHOTO  14,BURKHART G J,3,1,,,,,,,,,2,6
,,PHOTO  14 Total,,3,1,,,,,,,,,2,6
,PHOTO Total,,,9,5,,,,,,,,,7,21
Communication Total,,,,2860,1255,510,141,357,,36,4,32,14,734,5943
CSIS,CIS,CIS     1,CANADA S A,45,8,9,4,8,,,,1,,5,80
,,,ROTHAUPT B L,28,7,4,,4,,,,,,8,51
,,,SCOTT JACQUELINE D,16,9,8,6,8,,,,,,16,63
,,CIS     1 Total,,89,24,21,10,20,,,,1,,29,194
,,CIS     4,EL‐KHOURY N R,16,5,1,,1,,,,,,7,30
,,,JERRY G S,82,17,8,2,5,,,,1,,14,129
,,,ROTHAUPT B L,69,10,6,,3,,,,,,4,92
,,,ZIMMERMAN W L,22,15,11,5,3,,,,,,10,66
,,CIS     9A,DARWICHE J,2,,,,,,,,,,2,4
,,CIS     9A Total,,2,,,,,,,,,,2,4
,,CIS     9B,DARWICHE J,1,1,1,,,,,,,,8,11
,,CIS     9B Total,,1,1,1,,,,,,,,8,11
,,CIS    30,BOLANDHEMAT F,12,11,8,4,4,,,,,,10,49
,,CIS    30 Total,,12,11,8,4,4,,,,,,10,49
,,CIS    35,VALDIVIA O,18,6,3,1,2,,,,1,,13,44
,,CIS    35 Total,,18,6,3,1,2,,,,1,,13,44
,,CIS    37,JERRY G S,18,6,2,2,1,,,,,,3,32
,,CIS    37 Total,,18,6,2,2,1,,,,,,3,32
,,CIS    39,JERRY G S,17,2,,1,1,,,,1,,2,24
,,CIS    39 Total,,17,2,,1,1,,,,1,,2,24
,,CIS    50,BOLANDHEMAT F,11,,2,,3,,,,1,,4,21
,,CIS    50 Total,,11,,2,,3,,,,1,,4,21
,,CIS    51,BOLANDHEMAT F,7,2,,1,4,,,,,,6,20
,,CIS    51 Total,,7,2,,1,4,,,,,,6,20
,,CIS    54,EL‐KHOURY N R,12,6,4,3,2,,,,,,5,32
,,,VAUGHAN DANIEL H,4,4,2,1,,,,,3,,9,23
,,CIS    54 Total,,16,10,6,4,2,,,,3,,14,55
,,CIS    57,CLARK G B,13,1,1,,,,,,,,7,22
,,CIS    57 Total,,13,1,1,,,,,,,,7,22
,,CIS    59A,EL‐KHOURY N R,7,3,1,2,6,,,,,,5,24
,,CIS    59A Total,,7,3,1,2,6,,,,,,5,24
,,CIS    60A,CLARK G B,8,3,4,,3,,,1,1,,6,26
,,,VALDIVIA O,8,2,3,,2,,,,,,6,21
,,CIS    60A Total,,16,5,7,,5,,,1,1,,12,47
,,CIS    60B,VALDIVIA O,8,2,1,,3,,,1,,,3,18
,,CIS    60B Total,,8,2,1,,3,,,1,,,3,18
,,CIS    67,CHABAN M,8,4,3,1,3,,,,,,5,24
,,CIS    67 Total,,8,4,3,1,3,,,,,,5,24
,,CIS    70,ROTHAUPT B L,30,5,3,,,,,,,,4,42
,,CIS    70 Total,,30,5,3,,,,,,,,4,42
,,CIS    88A,STAHL H A,1,,,,,,,,,,,1
,CIS Total,,,463,129,85,33,66,,,2,9,,162,949
,CS,CS      3,BOLANDHEMAT F,31,14,4,3,2,,,,,,18,72
,,,ESHAGHIAN M M,31,5,4,4,14,,,,,,29,87
,,,GEDDES JR J K,12,3,1,2,5,,,,,,6,29
,,,HURLEY D P,11,6,,1,,,,,,,9,27
,,,KURTZ K A,14,6,3,1,6,,,,,,5,35
,,,MORGAN D B,6,8,2,,6,,,,1,,4,27
,,,SUPAT W,26,16,6,3,17,,,,,,2,70
,,CS      3 Total,,131,58,20,14,50,,,,1,,73,347
,,CS      7,SENO V T,12,3,,,4,,,,,,4,23
,,CS      7 Total,,12,3,,,4,,,,,,4,23
,,CS      9A,DARWICHE J,6,6,4,,,,,,,,5,21
,,CS      9A Total,,6,6,4,,,,,,,,5,21
,,CS      9B,DARWICHE J,6,2,,,3,,,,,,4,15
,,CS      9B Total,,6,2,,,3,,,,,,4,15
,,CS     15,BOLANDHEMAT F,10,7,,1,1,,,,,,12,31
,,,DARWICHE J,6,4,3,,7,,,,,,8,28
,,,KURTZ K A,7,1,1,1,1,,,,,,1,12
,,,MARCHAND K A,24,4,4,,1,,,,,,1,34
,,CS     15 Total,,47,16,8,2,10,,,,,,22,105
,,CS     17,HAGHOO M,30,3,5,1,2,,,,,,10,51
,,CS     17 Total,,30,3,5,1,2,,,,,,10,51
,,CS     19,PATEL M,13,1,,,4,,,,,,15,33
,,CS     19 Total,,13,1,,,4,,,,,,15,33
,,CS     20A,AMBROSIO E A,14,6,5,2,2,,,,,,10,39
,,,NGUYEN L V,22,13,14,3,7,,,,1,,13,73
,,CS     20A Total,,36,19,19,5,9,,,,1,,23,112
,,CS     20B,KALISCH N A,13,7,3,,3,,,1,,,2,29
,,,RAVKIC I,5,3,1,1,3,,,,,,5,18
,,CS     20B Total,,18,10,4,1,6,,,1,,,7,47
,,CS     30,DARWICHE J,9,6,6,,5,,,,,,7,33
,,CS     30 Total,,9,6,6,,5,,,,,,7,33
,,CS     41,MORGAN D B,9,5,,1,2,,,,1,,6,24
,,CS     42,ESHAGHIAN M M,12,4,1,1,2,,,,,,7,27
,,CS     42 Total,,12,4,1,1,2,,,,,,7,27
,,CS     50,DARWICHE J,10,7,9,2,13,,,,,,18,59
,,,DEHKHODA A,28,28,8,6,8,,,,,,24,102
,,,EDMONDS M,19,1,3,4,3,,,,,,9,39
,,,ESHAGHIAN M M,6,4,1,,7,,,,,,16,34
,,,HOTSINPILLER S S,15,7,3,,3,,,,,,4,32
,,CS     50 Total,,78,47,24,12,34,,,,,,71,266
,,CS     52,BISHOP M S,7,10,8,9,5,,,,,,23,62
,,,EDMONDS M,29,3,,1,,,,,,,11,44
,,,RATTANASOOK H,23,17,6,1,8,,,,,,5,60
,,,SINGHAL S P,5,4,2,,1,,,,,,10,22
,,CS     52 Total,,64,34,16,11,14,,,,,,49,188
,,CS     53B,DEHKHODA A,14,8,,,,,,,,,1,23
,,CS     53B Total,,14,8,,,,,,,,,1,23
,,CS     55,DEHKHODA A,33,22,1,6,4,,,,1,,15,82
,,CS     55 Total,,33,22,1,6,4,,,,1,,15,82
,,CS     56,DEHKHODA A,30,8,,1,,,,,,,2,41
,,CS     56 Total,,30,8,,1,,,,,,,2,41
,,CS     60,SHARMA V D,31,10,2,1,8,,,,,,9,61
,,CS     60 Total,,31,10,2,1,8,,,,,,9,61
,,CS     70,MORGAN D B,5,3,4,1,3,,,,,,5,21
,,CS     70 Total,,5,3,4,1,3,,,,,,5,21
,,CS     79A,KOL K T,21,10,4,2,9,,,2,2,,3,53
,,,SAMPLEWALA M S,12,13,,,3,,,,,,7,35
,,CS     79A Total,,33,23,4,2,12,,,2,2,,10,88
,,CS     79B,STAHL H A,30,3,4,3,10,,,,1,,19,70
,,CS     79B Total,,30,3,4,3,10,,,,1,,19,70
,,CS     79C,SENO V T,44,10,4,1,5,,2,2,1,,9,78
,,CS     79C Total,,44,10,4,1,5,,2,2,1,,9,78
,,CS     79D,SENO V T,35,5,4,1,8,,,1,3,,2,59
,,CS     79D Total,,35,5,4,1,8,,,1,3,,2,59
,,CS     80,BISHOP M S,5,2,5,4,4,,,,,,4,24
,,,MARCHAND K A,15,2,2,,3,,,,,,13,35
,,CS     80 Total,,39,6,8,5,10,,,,,,25,93
,,CS     81,HOTSINPILLER S S,5,2,1,1,4,,,,1,,20,34
,,,WANG AN C,7,2,1,1,7,,,,1,,17,36
,,CS     81 Total,,12,4,2,2,11,,,,2,,37,70
,,CS     83R,STAHL H A,11,2,,,1,,,,3,,12,29
,,CS     83R Total,,11,2,,,1,,,,3,,12,29
,,CS     85,SENO V T,19,6,,,4,,2,,1,,1,33
,,CS     85 Total,,19,6,,,4,,2,,1,,1,33
,,CS     87A,BISHOP M S,9,9,5,2,3,,,,,,24,52
,,,DARWICHE J,11,9,10,2,,,,,,,9,41
,,CS     87A Total,,20,18,15,4,3,,,,,,33,93
,,CS     88A,STAHL H A,1,,,,,,,,,,,1
,,CS     88A Total,,1,,,,,,,,,,,1
,,CS     90B,STAHL H A,,,,,,,,,1,,,1
,,CS     90B Total,,,,,,,,,,1,,,1
,,CS     90C,STAHL H A,,,,,,,,,1,,,1
,,CS     90C Total,,,,,,,,,,1,,,1
,CS Total,,,828,342,155,75,224,,4,6,19,,483,2136
,OFTECH,OFTECH  1,REED A M,20,3,,,3,,,,,,5,31
,,OFTECH  1 Total,,20,3,,,3,,,,,,5,31
,,OFTECH  1A,REED A M,31,2,1,1,4,,,,,,5,44
,,OFTECH  1A Total,,31,2,1,1,4,,,,,,5,44
,,OFTECH  1B,REED A M,11,,,,,,,,,,1,12
,,OFTECH  1B Total,,11,,,,,,,,,,1,12
,,OFTECH  1C,REED A M,6,1,,,2,,,,1,,,10
,,OFTECH  1C Total,,6,1,,,2,,,,1,,,10
,,OFTECH  9,REED A M,1,,,,,,,,,,,1
,,OFTECH  9 Total,,1,,,,,,,,,,,1
,,OFTECH 21,MANTABE P,5,4,,,1,,,,,,5,15
,,OFTECH 21 Total,,5,4,,,1,,,,,,5,15
,,OFTECH 23,REED A M,14,2,3,1,5,,,,,,5,30
,,OFTECH 23 Total,,14,2,3,1,5,,,,,,5,30
,,OFTECH 26 Total,,11,1,1,,,,,,,,5,18
,,OFTECH 27,REED A M,15,4,1,,8,,,,,,3,31
,,OFTECH 27 Total,,15,4,1,,8,,,,,,3,31
,,OFTECH 28,WILLIAMSON TE D,8,6,2,,,,,1,,,4,21
,,OFTECH 28 Total,,8,6,2,,,,,1,,,4,21
,,OFTECH 31,MANTABE P,5,2,,2,1,,,,,,7,17
,,OFTECH 31 Total,,5,2,,2,1,,,,,,7,17
,OFTECH Total,,,127,25,8,4,24,,,1,1,,40,230
CSIS Total,,,,1418,496,248,112,314,,4,9,29,,685,3315
Cosmetology,COSM,COSM   10A,CEBALLOS B A,18,1,,,,,,,,,11,30
,,,HORN S L,14,18,14,1,1,,,,,,3,51
,,,MYERS A M,10,8,9,1,2,,,,,,5,35
,,COSM   10A Total,,42,27,23,2,3,,,,,,19,116
,,COSM   10B,CEBALLOS B A,22,3,,,,,,,,,8,33
,,,HORN S L,11,18,6,3,2,,,,,,8,48
,,,MYERS A M,14,7,3,,3,,,,,,3,30
,,COSM   10B Total,,47,28,9,3,5,,,,,,19,111
,,COSM   11A,LEDONNE H,1,15,18,2,1,,,,,,11,48
,,COSM   11A Total,,1,15,18,2,1,,,,,,11,48
,,COSM   11B,PERRET D M,16,11,7,1,1,,,,,,6,42
,,COSM   11B Total,,16,11,7,1,1,,,,,,6,42
,,COSM   11C,ASSADI J,18,14,6,,1,,,,,,5,44
,,COSM   11C Total,,18,14,6,,1,,,,,,5,44
,,COSM   11D,MONGE J V,24,5,,,2,,,,,,13,44
,,COSM   11D Total,,24,5,,,2,,,,,,13,44
,,COSM   11E,MYERS A M,15,7,3,2,2,,,,,,12,41
,,COSM   11E Total,,15,7,3,2,2,,,,,,12,41
,,COSM   16,NUNLEY R M,6,20,13,1,2,,,,,,13,55
,,COSM   16 Total,,6,20,13,1,2,,,,,,13,55
,,COSM   18,LIM J Y,25,9,1,2,,,,,,,10,47
,,,MANUEL S M,22,10,3,,2,,,,,,4,41
,,COSM   18 Total,,47,19,4,2,2,,,,,,14,88
,,COSM   20,MANUEL S M,25,16,10,,3,,,,,,3,57
,,COSM   21A,MOISAN A V,28,,,,2,,,,,,3,33
,,COSM   21A Total,,28,,,,2,,,,,,3,33
,,COSM   21B,MANUEL S M,9,11,10,,,,,,,,5,35
,,COSM   21B Total,,9,11,10,,,,,,,,5,35
,,COSM   21C,PERRET D M,11,8,3,,,,,,,,1,23
,,COSM   21C Total,,11,8,3,,,,,,,,1,23
,,COSM   21D,HARRISON H L,24,3,,,2,,,,,,3,32
,,COSM   21D Total,,24,3,,,2,,,,,,3,32
,,COSM   21E,MYERS A M,16,7,1,1,2,,,,,,4,31
,,COSM   21E Total,,16,7,1,1,2,,,,,,4,31
,,COSM   26,NUNLEY R M,12,10,5,2,,,,,,,10,39
,,COSM   26 Total,,12,10,5,2,,,,,,,10,39
,,COSM   28A,LEDONNE H,24,28,9,1,5,,,,,,4,71
,,COSM   28A Total,,24,28,9,1,5,,,,,,4,71
,,COSM   28B,LIM J Y,27,12,6,,,,,,,,7,52
,,COSM   28B Total,,27,12,6,,,,,,,,7,52
,,COSM   30,HORN S L,26,15,12,4,,,,,,,5,62
,,COSM   30 Total,,26,15,12,4,,,,,,,5,62
,,COSM   31A,ROGERS JR J,12,8,2,,,,,,,,4,26
,,COSM   31A Total,,12,8,2,,,,,,,,4,26
,,COSM   31B,ASSADI J,4,16,7,,2,,,,,,,29
,,COSM   31B Total,,4,16,7,,2,,,,,,,29
,,COSM   31C,CEBALLOS B A,11,7,1,,1,,,,,,1,21
,,COSM   31C Total,,11,7,1,,1,,,,,,1,21
,,COSM   31E,FELIX F,21,9,1,,,,,,,,1,32
,,COSM   31E Total,,21,9,1,,,,,,,,1,32
,,COSM   36,NUNLEY R M,12,18,7,2,,,,,,,6,45
,,COSM   36 Total,,12,18,7,2,,,,,,,6,45
,,COSM   38,LIM J Y,25,14,6,1,,,,,,,7,53
,,COSM   38 Total,,25,14,6,1,,,,,,,7,53
,,COSM   38B,IJAMES S V,38,14,2,,2,,,,,,1,57
,,COSM   38B Total,,38,14,2,,2,,,,,,1,57
,,COSM   38C,IJAMES S V,53,2,,,,,,,,,3,58
,,COSM   40,DICAMILLO N,6,9,2,,3,,,,,,5,25
,,COSM   40 Total,,6,9,2,,3,,,,,,5,25
,,COSM   41B,FELIX F,11,7,3,,1,,,,,,,22
,,COSM   41B Total,,11,7,3,,1,,,,,,,22
,,COSM   42,HARRISON H L,22,5,2,,1,,,,,,5,35
,,COSM   42 Total,,22,5,2,,1,,,,,,5,35
,,COSM   46,MONGE J V,23,4,,,2,,,,,,2,31
,,COSM   46 Total,,23,4,,,2,,,,,,2,31
,,COSM   48,KEPLER J M,32,4,2,1,3,,,,,,2,44
,,COSM   48 Total,,32,4,2,1,3,,,,,,2,44
,,COSM   48B,LEDONNE H,8,21,5,,2,,,,,,,36
,,COSM   48B Total,,8,21,5,,2,,,,,,,36
,,COSM   50A,MOISAN A V,16,3,,,2,,,,,,8,29
,,COSM   50A Total,,16,3,,,2,,,,,,8,29
,,COSM   50B,CEBALLOS B A,16,6,8,,2,,,,,,,32
,,COSM   50B Total,,16,6,8,,2,,,,,,,32
,,COSM   50C,DICAMILLO N,18,5,,,,,,,,,,23
,,COSM   50C Total,,18,5,,,,,,,,,,23
,,COSM   50E,DICAMILLO N,28,8,,,6,,,,,,6,48
,,COSM   50E Total,,28,8,,,6,,,,,,6,48
,,COSM   50N,DICAMILLO N,2,3,,,1,,,,,,1,7
,,COSM   50N Total,,2,3,,,1,,,,,,1,7
,,COSM   64,LEDONNE H,8,37,12,4,3,,,,,,6,70
,,COSM   64 Total,,8,37,12,4,3,,,,,,6,70
,,COSM   88A,PERRET D M,,,,,,,,,1,,,1
,,COSM   88A Total,,,,,,,,,,1,,,1
,,COSM   95A,ROGERS JR J,,,,,,,,28,72,,4,104
,,COSM   95A Total,,,,,,,,,28,72,,4,104
,,COSM   95B,LEDONNE H,,,,,,,,,14,17,10,41
,,COSM   95B Total,,,,,,,,,,14,17,10,41
,,COSM   95C,MOISAN A V,,,,,,,,14,7,,4,25
,,COSM   95C Total,,,,,,,,,14,7,,4,25
,,COSM   95D,PERRET D M,,,,,,,,11,7,,2,20
,COSM Total,,,784,456,199,29,64,,,53,101,17,235,1938
Cosmetology Total,,,,784,456,199,29,64,,,53,101,17,235,1938
Counseling,COUNS,COUNS   1,FINLEY S F,,,,,,,,13,41,,5,59
,,COUNS   1 Total,,,,,,,,,13,41,,5,59
,,COUNS  11,FINLEY S F,,,,,,,,11,54,,4,69
,,,HAMILTON K N,,,,,,,,4,18,,1,23
,,,KIM SOO,,,,,,,,6,27,,1,34
,,,SANKER C,,,,,,,,4,12,,1,17
,,,SOK C,,,,,,,,2,18,,1,21
,,COUNS  11 Total,,,,,,,,,27,129,,8,164
,,COUNS  12,DE CAUSSIN J R,27,7,6,2,6,,,,,,5,53
,,,FOX M P,25,11,4,3,7,,,,1,,6,57
,,,GARCIA C J,38,7,1,3,3,,,,,,1,53
,,,GAUSMAN J M,45,3,3,3,9,,,,,,9,72
,,,GURROLA D M,19,4,4,4,8,,,,1,,4,44
,,,JOHNSON DE A,17,10,5,4,8,,,,1,,15,60
,,,KENNISON R L,21,5,1,1,1,,,,,,1,30
,,,MARTINEZ E,14,5,2,1,4,,2,,,,15,43
,,,RUIZ J,25,5,7,1,11,,,,,,7,56
,,COUNS  12 Total,,231,57,33,22,57,,2,,3,,63,468
,,COUNS  15,KENNISON R L,26,7,1,,4,,,,1,,2,41
,,COUNS  15 Total,,26,7,1,,4,,,,1,,2,41
,,COUNS  20,BONILLA V,43,12,6,2,6,,,,,,23,92
,,,COOPER D J,45,13,9,1,10,,,,,,20,98
,,,FELIX J,71,26,12,6,24,,,,1,,19,159
,,,FINLEY S F,10,5,5,1,2,,,,,,6,29
,,,GALINDO O A,18,10,5,4,27,,,,,,20,84
,,,HACKETT C D,13,10,4,,,,,,,,5,32
,,,LEWIS M L,3,6,5,3,16,,,,,,12,45
,,,TREJO A D,22,13,10,2,8,,,,,,28,83
,,,VALENTINE D,4,12,4,4,14,,,,,,40,78
,,,VALLEJO O,9,2,6,1,2,,,,,,5,25
,,COUNS  20 Total,,238,109,66,24,109,,,,1,,178,725
,,COUNS  88A Total,,1,,,,,,,,,,,1
,,COUNS  88B,FELIX J,1,,,,,,,,,,,1
,,COUNS  88B Total,,1,,,,,,,,,,,1
,,COUNS  90A,GARCIA T,,,,,,,,,15,,,15
,,,JOHNSON DE A,,,,,,,,,21,,1,22
,,COUNS  90A Total,,,,,,,,,,36,,1,37
,,COUNS  90B,JOHNSON DE A,,,,,,,,,10,,1,11
,,COUNS  90B Total,,,,,,,,,,10,,1,11
,,COUNS  90C,JOHNSON DE A,,,,,,,1,,10,,,11
,,COUNS  90C Total,,,,,,,,1,,10,,,11
,,COUNS  90D,JOHNSON DE A,,,,,,,,,7,,,7
,,COUNS  90D Total,,,,,,,,,,7,,,7
,COUNS Total,,,497,173,100,46,170,,3,40,238,,258,1525
Counseling Total,,,,497,173,100,46,170,,3,40,238,,258,1525
Dance,DANCE,DANCE   2,DOUGLAS JUDITH G,31,11,2,,,,,,,,2,46
,,,LEE J Y,6,19,6,5,5,,,,,,1,42
,,,VAN WORMER V M,7,3,5,1,6,,,1,,,2,25
,,DANCE   2 Total,,44,33,13,6,11,,,1,,,5,113
,,DANCE   5,DOUGLAS JUDITH G,41,38,8,4,2,,,,,,17,110
,,,LEE J Y,10,7,7,5,4,,,,,,4,37
,,,TOMASIC M T,14,4,3,,2,,,,,,10,33
,,DANCE   5 Total,,65,49,18,9,8,,,,,,31,180
,,DANCE  10,TOMASIC M T,4,6,1,1,,,1,,,,8,21
,,,WOLIN‐TUPAS R L,20,5,6,,1,,,,,,10,42
,,DANCE  10 Total,,24,11,7,1,1,,1,,,,18,63
,,DANCE  11,AYBAY OWENS S,3,1,7,1,1,,,,1,,3,17
,,DANCE  11 Total,,3,1,7,1,1,,,,1,,3,17
,,DANCE  12,AYBAY OWENS S,3,,1,3,,,,,,,2,9
,,,JORDAN A N,17,7,6,3,1,,,,,,4,38
,,DANCE  12 Total,,20,7,7,6,1,,,,,,6,47
,,DANCE  17,ZEE S L,12,1,2,,,,,,,,2,17
,,DANCE  17 Total,,12,1,2,,,,,,,,2,17
,,DANCE  18,ZEE S L,2,1,1,,,,,,1,,,5
,,DANCE  20,CANELLIAS L M,3,6,,,5,,,2,1,,6,23
,,DANCE  20 Total,,3,6,,,5,,,2,1,,6,23
,,DANCE  21,SUSILOWATI S,12,,,,,,,,,,1,13
,,DANCE  21 Total,,12,,,,,,,,,,1,13
,,DANCE  22,RAMIREZ R V,3,4,1,1,,,,,1,,,10
,,DANCE  22 Total,,3,4,1,1,,,,,1,,,10
,,DANCE  23,RAMIREZ R V,1,,,,,,,,,,,1
,,DANCE  23 Total,,1,,,,,,,,,,,1
,,DANCE  25,JORDAN A N,4,5,,1,,,,,,,10,20
