"","","","","","","","","","","","","",""
JOURN   4A,GIGGANS J H,1,,1,,,,,,,,2,4
JOURN   4A Total,,1,,1,,,,,,,,2,4
JOURN  15,RUBIN S M,4,5,2,1,4,,,,,,11,27
JOURN  15 Total,,4,5,2,1,4,,,,,,11,27
JOURN  16,BLAIZE-HOPKINS A N,14,4,,,1,,,,,,3,22
JOURN  16 Total,,14,4,,,1,,,,,,3,22
JOURN  17,BLAIZE-HOPKINS A N,3,,,,,,,,,,,3
JOURN  17 Total,,3,,,,,,,,,,,3
JOURN  21,BURKHART G J,3,,1,,1,,,,,,,5
JOURN  21 Total,,3,,1,,1,,,,,,,5
JOURN  22,BURKHART G J,1,,,,,,,,,,1,2
JOURN  22 Total,,1,,,,,,,,,,1,2
JOURN  43,ADELMAN A,4,9,,,,,,,,,2,15
JOURN  43 Total,,4,9,,,,,,,,,2,15
MEDIA   1,BLAIZE-HOPKINS A N,10,5,1,1,2,,,,,,8,27
"",BREWER S L,60,22,3,3,2,,,,,,8,98
"",BREWINGTON R H,21,8,3,,5,,,,,,2,39
"",CAPTOR R,6,8,2,,,,,,,,3,19
"",CHARLES H E,30,24,12,2,4,,,,,,9,81
"",CHICAS H K,7,15,,,,,,,,,6,28
"",COLEMAN D,9,8,2,1,2,,,,,,7,29
"",CONLEY T,19,4,,,1,,,,,,7,31
"",DICKINSON L M,51,5,,2,5,,,,,,3,66
"",MOVIUS L,89,13,6,1,2,,,,,,3,114
"",OBSATZ S B,63,17,1,,2,,,,,,6,89
"",RAZ J G,8,10,5,1,1,,,,,,5,30
"",SAXON L N,9,1,3,,,,,,,,3,16
"",SHAW R D,16,7,,1,4,,,,,,3,31
"",STAMBLER L S,43,14,6,1,3,,,,,,8,75
MEDIA   1 Total,,457,185,72,32,34,,,,1,,97,878
MEDIA   2,SCHOFIELD J E,6,2,3,,4,,,,,,5,20
MEDIA   2 Total,,6,2,3,,4,,,,,,5,20
MEDIA   3,MOVIUS L,31,11,3,,,,,,,,1,46
MEDIA   3 Total,,31,11,3,,,,,,,,1,46
MEDIA   4,CHICAS H K,23,3,,,,,,,1,,,27
"",RAZ J G,10,12,6,3,2,,,,,,1,34
MEDIA   4 Total,,33,15,6,3,2,,,,1,,1,61
MEDIA  10,BREWER S L,22,1,,,,,,,,,,23
"",CHARLES H E,18,3,4,1,,,,,,,2,28
"",CHICAS H K,7,7,,,1,,,,,,3,18
"",DICKINSON L M,20,3,3,,,,,,,,1,27
"",GOLDSTEIN MARTIN M,63,35,4,8,6,,,,,,3,119
"",GOUGIS M J,53,17,12,5,5,,,1,,,5,98
"",OBSATZ S B,31,,,,,,,,,,1,32
"",PERNISCO N,58,17,2,4,13,,,,,,10,104
"",RAZ J G,14,8,7,2,3,,,1,,,5,40
"",SCHOFIELD J E,38,17,7,3,7,,,,,,5,77
MEDIA  10 Total,,324,108,39,23,35,,,2,,,35,566
MEDIA  11,SHAW R D,10,10,1,,,,2,,,,4,27
MEDIA  11 Total,,10,10,1,,,,2,,,,4,27
MEDIA  12,GIGGANS J H,7,3,2,,2,,,,,,3,17
MEDIA  12 Total,,7,3,2,,2,,,,,,3,17
MEDIA  13,BREWINGTON R H,21,2,1,1,3,,,,,,1,29
"",CAREY R T,24,,,,,,,,,,,24
MEDIA  13 Total,,45,2,1,1,3,,,,,,1,53
MEDIA  14,GIGGANS J H,5,6,,,1,,,,,,1,13
MEDIA  14 Total,,5,6,,,1,,,,,,1,13
MEDIA  16,CARLUCCI M A,12,5,,,,,3,,,,13,33
MEDIA  16 Total,,12,5,,,,,3,,,,13,33
MEDIA  18,ADELMAN A,1,11,2,,,,,,,,2,16
MEDIA  19,PRESCOTT P N,11,5,4,2,2,,,,,,4,28
MEDIA  19 Total,,11,5,4,2,2,,,,,,4,28
MEDIA  20,SHAW R D,9,2,4,,4,,,,,,9,28
"",STOWELL R,27,,,,,,,,,,,27
"",WEISMAN B S,10,3,2,,3,,1,,,,1,20
MEDIA  20 Total,,46,5,6,,7,,1,,,,10,75
MEDIA  21,CAPTOR R,8,7,4,,,,,,,,8,27
MEDIA  21 Total,,8,7,4,,,,,,,,8,27
MEDIA  46,FETZER G C,21,4,1,,1,,,,,,4,31
MEDIA  46 Total,,21,4,1,,1,,,,,,4,31
MEDIA  48,SHAW R D,8,1,,1,,,3,,,,2,15
MEDIA  48 Total,,8,1,,1,,,3,,,,2,15
MEDIA  88A,MUNOZ M E,2,,,,,,,,,,,2
MEDIA  88A Total,,2,,,,,,,,,,,2
MEDIA  90B,SHAW R D,,,,,,,,,2,,,2
MEDIA  90B Total,,,,,,,,,,2,,,2
PHOTO  13,BURKHART G J,5,2,2,,1,,,,,,3,13
PHOTO  13 Total,,5,2,2,,1,,,,,,3,13
PHOTO  14,BURKHART G J,,2,1,1,,,,,,,2,6
PHOTO  14 Total,,,2,1,1,,,,,,,2,6
"",,2947,1417,530,193,350,,35,5,17,,732,6226
COSM   10A,CEBALLOS B A,9,11,2,,,,,,,,,22
"",MYERS A M,21,2,2,1,3,,,,,,3,32
"",VAUGHN C L,25,14,3,2,7,,,,,,6,57
COSM   10A Total,,55,27,7,3,10,,,,,,9,111
COSM   10B,CEBALLOS B A,16,3,1,,1,,,,,,3,24
"",MYERS A M,10,8,6,3,1,,,,,,2,30
"",VAUGHN C L,12,22,10,2,5,,,,,,3,54
COSM   10B Total,,38,33,17,5,7,,,,,,8,108
COSM   11A,LEDONNE H,3,23,10,3,4,,,,,,14,57
COSM   11A Total,,3,23,10,3,4,,,,,,14,57
COSM   11B,PERRET D M,19,11,13,3,2,,,,,,4,52
COSM   11B Total,,19,11,13,3,2,,,,,,4,52
COSM   11C Total,,14,18,8,4,2,,,,,,14,60
COSM   11D,MONGE J V,34,4,1,,8,,,,,,14,61
COSM   11D Total,,34,4,1,,8,,,,,,14,61
COSM   11E,MYERS A M,23,8,4,4,2,,,,,,12,53
COSM   11E Total,,23,8,4,4,2,,,,,,12,53
COSM   16,CEBALLOS B A,21,3,2,,,,,,,,4,30
"",NUNLEY R M,2,7,5,,,,,,,,6,20
COSM   16 Total,,23,10,7,,,,,,,,10,50
COSM   18,LIM J Y,34,9,3,2,,,,,,,4,52
"",MANUEL S M,27,12,2,,1,,,,,,6,48
COSM   18 Total,,61,21,5,2,1,,,,,,10,100
COSM   20,MANUEL S M,28,15,7,,4,,,,,,4,58
COSM   20 Total,,28,15,7,,4,,,,,,4,58
COSM   21A,MOISAN A V,29,,3,,4,,,,,,13,49
COSM   21A Total,,29,,3,,4,,,,,,13,49
COSM   21B,MANUEL S M,17,6,6,,3,,,,,,2,34
COSM   21B Total,,17,6,6,,3,,,,,,2,34
COSM   21C,PERRET D M,16,15,7,1,2,,,,,,10,51
COSM   21C Total,,16,15,7,1,2,,,,,,10,51
COSM   21D,HARRISON H L,22,5,1,,4,,,,,,2,34
COSM   21D Total,,22,5,1,,4,,,,,,2,34
COSM   21E,MYERS A M,21,7,1,1,1,,,,,,8,39
COSM   21E Total,,21,7,1,1,1,,,,,,8,39
COSM   26,NUNLEY R M,13,10,13,1,,,,,,,7,44
COSM   26 Total,,13,10,13,1,,,,,,,7,44
COSM   28A,LEDONNE H,11,26,9,1,2,,,,,,4,53
COSM   28A Total,,11,26,9,1,2,,,,,,4,53
COSM   28B,LIM J Y,33,11,3,3,,,,,,,7,57
COSM   28B Total,,33,11,3,3,,,,,,,7,57
COSM   30,DICAMILLO N,27,,,,1,,,,,,7,35
"",HORN S L,20,4,5,,,,,,,,1,30
COSM   30 Total,,47,4,5,,1,,,,,,8,65
COSM   31A,MOISAN A V,28,10,,,6,,,,,,3,47
COSM   31B,ASSADI J,8,11,4,1,,,,,,,2,26
COSM   31B Total,,8,11,4,1,,,,,,,2,26
COSM   31C,CEBALLOS B A,20,7,1,1,,,,,,,2,31
COSM   31C Total,,20,7,1,1,,,,,,,2,31
COSM   31E,NUNLEY R M,8,9,4,,,,,,,,4,25
COSM   31E Total,,8,9,4,,,,,,,,4,25
COSM   36,NUNLEY R M,20,13,1,1,1,,,,,,12,48
COSM   36 Total,,20,13,1,1,1,,,,,,12,48
COSM   38,LIM J Y,26,15,1,2,,,,,,,5,49
COSM   38 Total,,26,15,1,2,,,,,,,5,49
COSM   38B,IJAMES S V,31,4,3,1,2,,,,,,1,42
COSM   38B Total,,31,4,3,1,2,,,,,,1,42
COSM   38C,IJAMES S V,32,4,5,1,,,,,,,3,45
COSM   38C Total,,32,4,5,1,,,,,,,3,45
COSM   40,DICAMILLO N,9,10,,,2,,,,,,3,24
COSM   40 Total,,9,10,,,2,,,,,,3,24
COSM   41B,ASSADI J,6,11,3,,3,,,,,,3,26
COSM   41B Total,,6,11,3,,3,,,,,,3,26
COSM   42,HARRISON H L,36,3,,,1,,,,,,8,48
COSM   42 Total,,36,3,,,1,,,,,,8,48
COSM   46,MONGE J V,17,4,2,,1,,,,,,11,35
COSM   46 Total,,17,4,2,,1,,,,,,11,35
COSM   48,KEPLER J M,33,2,1,3,1,,,,,,2,42
COSM   48 Total,,33,2,1,3,1,,,,,,2,42
COSM   48B,LEDONNE H,9,24,8,1,2,,,,,,8,52
COSM   48B Total,,9,24,8,1,2,,,,,,8,52
COSM   50A,MOISAN A V,17,9,,,3,,,,,,,29
COSM   50A Total,,17,9,,,3,,,,,,,29
COSM   50B,CEBALLOS B A,5,9,,,2,,,,,,,16
COSM   50B Total,,5,9,,,2,,,,,,,16
COSM   50C,DICAMILLO N,8,7,,,3,,,,,,3,21
COSM   50C Total,,8,7,,,3,,,,,,3,21
COSM   50E,DICAMILLO N,23,7,,,4,,,,,,5,39
COSM   50N,DICAMILLO N,,2,,,1,,,,,,,3
COSM   50N Total,,,2,,,1,,,,,,,3
COSM   64,LEDONNE H,6,26,21,4,2,,,,,,8,67
COSM   64 Total,,6,26,21,4,2,,,,,,8,67
COSM   88A,PERRET D M,,,,,,,,,4,,,4
COSM   88A Total,,,,,,,,,,4,,,4
COSM   95A,"DICAMILLO N/HORN S
L/ROGERS JR J",,,,,,,,,66,,7,73
COSM   95A Total,,,,,,,,,,66,,7,73
COSM   95B,"KEPLER J M/LEDONNE
H",,,,,,,,19,8,,7,34
COSM   95B Total,,,,,,,,,19,8,,7,34
COSM   95C,"HARRISON H L/MOISAN
A V/MONGE JV",,,,,,,,7,4,,3,14
COSM   95C Total,,,,,,,,,7,4,,3,14
COSM   95D,"ASSADI J/IJAMES S
V/PERRET D M",,,,,,,,17,6,,3,26
COSM   95D Total,,,,,,,,,17,6,,3,26
"",,849,441,181,46,91,,,43,88,,263,2002
COUNS   1,NWEKE T K,,,,,,,,14,58,,18,90
COUNS   1 Total,,,,,,,,,14,58,,18,90
COUNS  11,CHOW L N/SANKER C,,,,,,,,3,29,,3,35
"",ESTRADA C,,,,,,,,4,32,,2,38
"",HAMILTON K N,,,,,,,,3,35,,3,41
"",KARIMIAN N,,,,,,,,1,36,,1,38
"",KIM SOO,,,,,,,,3,36,,,39
"",NISHIYAMA T K,,,,,,,,1,36,,1,38
"",ROWLAND Y T,,,,,,,,7,28,,,35
"",TRAN J,,,,,,,,1,34,,2,37
COUNS  11 Total,,,,,,,,,23,266,,12,301
COUNS  12,DE CAUSSIN J R,17,7,4,,10,,1,,,,5,44
"",FOX M P,35,6,4,,9,,,,,,5,59
"",GAUSMAN J M,42,6,2,2,12,,,,,,8,72
"",GURROLA D M,13,11,3,,6,,,,,,11,44
"",JOHNSON DE A,21,13,7,4,8,,,,,,13,66
"",KENNISON R L,60,6,4,2,1,,,,,,2,75
"",MARTINEZ E,16,6,5,2,5,,,,,,2,36
"",PARKER J C,34,7,7,4,4,,,,,,6,62
"",ROSILES C A,30,10,7,2,3,,,,,,7,59
"",RUIZ J,42,7,2,1,9,,1,,,,7,69
"",SANTIAGO G,34,6,6,2,4,,,,,,2,54
COUNS  12 Total,,393,87,52,19,74,,4,,,,70,699
COUNS  15,KENNISON R L,48,16,7,1,7,,,,1,,8,88
COUNS  15 Total,,48,16,7,1,7,,,,1,,8,88
COUNS  16,MARTINEZ E,7,1,1,,5,,2,,,,3,19
COUNS  16 Total,,7,1,1,,5,,2,,,,3,19
COUNS  20,ADKINS L B,11,2,3,2,6,,,,,,2,26
"",BEDWORTH S M,20,20,11,4,7,,,,,,16,78
"",BLYE D M,11,10,7,4,5,,,,,,2,39
"",BONILLA V,47,18,16,8,5,,,,,,40,134
"",CASTRO E A,17,17,3,3,4,,,,,,10,54
"",COOPER D J,68,16,8,4,4,,,,1,,8,109
"",DOWD T Y,6,,3,2,2,,,,,,13,26
"",FELIX J,56,38,18,9,7,,,,,,5,133
"",FINCH L A,60,5,4,1,,,,,,,8,78
"",FINLEY S F,52,15,11,2,10,,,,,,7,97
"",FUNES D E,20,14,8,3,6,,,,,,4,55
"",GALINDO O A,41,23,10,4,20,,,,,,39,137
"",GARCIA J L,5,6,8,3,8,,,,,,4,34
"",GONZALEZ AN,34,2,8,,12,,,,,,11,67
"",HACKETT C D,13,6,13,,4,,3,,,,7,46
"",HEMENG E K,6,7,5,1,5,,,,,,6,30
"",HERNANDEZ-CABRE E,29,6,8,4,5,,,,,,15,67
"",HICKEY E E,18,4,4,3,3,,,,,,4,36
"",JACKSON A E,23,23,11,,16,,,,,,12,85
"",LEWIS M L,14,3,6,14,17,,,,,,41,95
"",MACIAS LIMON C C,8,6,3,3,6,,,,,,5,31
"","MARTIN-TUNGPALA N
K",12,11,5,6,11,,,1,1,,18,65
"",NAKAO P O,11,4,2,,2,,,,,,10,29
"",NUNEZ-MASON R E,9,10,1,1,3,,,,,,7,31
"",PICAZO L M,9,9,5,1,6,,,,,,3,33
"",ROSS S A,30,23,11,6,17,,,,,,14,101
"",SAMANI N,12,5,6,1,3,,,,,,5,32
"",TREJO A D,42,23,11,5,2,,,,,,23,106
"",VALENTINE D,33,8,13,5,26,,1,,,,12,98
"",VALLEJO O,11,8,3,,4,,,,,,5,31
"",WASHINGTON D M,18,8,1,3,1,,,,,,5,36
"",WOODARD N L,12,9,,1,7,,,,,,7,36
"",YAKHSZYAN H H,99,,,,,,,,,,10,109
COUNS  20 Total,,862,363,234,104,241,,4,1,2,,383,2194
COUNS  88A,FELIX J,1,,,,,,,,,,,1
COUNS  88A Total,1,,,,,,,,,,,1,
COUNS  88C,FELIX J,2,,,,,,,,,,,2
COUNS  88C Total,2,,,,,,,,,,,2,
COUNS  90A,JOHNSON DE A,,,,,,,1,2,19,,2,24
COUNS  90A Total,,,,,,,1,2,19,,2,24,
COUNS  90B,JOHNSON DE A,,,,,,,,3,17,,,20
COUNS  90B Total,,,,,,,,3,17,,,20,
COUNS  90C,JOHNSON DE A,,,,,,,,2,10,,,12
COUNS  90C Total,,,,,,,,2,10,,,12,
COUNS  90D,JOHNSON DE A,,,,,,,,,5,,,5
COUNS  90D Total,,,,,,,,,5,,,5,
"",,1313,467,294,124,327,,11,45,378,,496,3455
CIS     1,RAHNI M,18,19,1,3,8,,,,,,5,54
"",ROTHAUPT B L,33,9,5,1,1,,,,2,,10,61
"",SCOTT JACQUELINE D,18,12,9,4,6,,,,,,16,65
CIS     1 Total,,93,42,20,13,24,,,,2,,52,246
CIS     4,CANADA S A,47,25,11,,4,,,,,,7,94
"",JERRY G S,71,13,9,2,6,,,,,,12,113
"",RAHNI M,3,2,9,8,3,,,1,,,4,30
"",ROTHAUPT B L,45,13,8,,4,,,,1,,11,82
"",SIMMONDS A R,11,8,1,,2,,,,2,,,24
CIS     4 Total,,177,61,38,10,19,,,1,3,,34,343
CIS     9A,DARWICHE J,1,,,,,,,,,,1,2
CIS     9A Total,,1,,,,,,,,,,1,2
CIS    30,BOLANDHEMAT F,8,7,2,1,2,,,,,,2,22
CIS    30 Total,,8,7,2,1,2,,,,,,2,22
CIS    32,EL-KHOURY N R,6,2,2,,6,,,,,,8,24
CIS    32 Total,,6,2,2,,6,,,,,,8,24
CIS    35,VALDIVIA O,19,6,4,2,3,,,,,,4,38
CIS    35 Total,,19,6,4,2,3,,,,,,4,38
CIS    36G,SCOTT JACQUELINE D,8,,,,3,,,,,,6,17
CIS    36G Total,,8,,,,3,,,,,,6,17
CIS    36P,SCOTT JACQUELINE D,15,6,,1,3,,,,,,10,35
CIS    36P Total,,15,6,,1,3,,,,,,10,35
CIS    37,JERRY G S,13,7,2,1,2,,,,,,,25
CIS    37 Total,,13,7,2,1,2,,,,,,,25
CIS    39,JERRY G S,15,4,3,,1,,,,,,2,25
CIS    39 Total,,15,4,3,,1,,,,,,2,25
CIS    40,VALDIVIA O,7,4,3,,2,,,,,,6,22
CIS    40 Total,,7,4,3,,2,,,,,,6,22
CIS    50,BOLANDHEMAT F,6,3,4,,,,,,1,,10,24
"",EL-KHOURY N R,11,,3,2,3,,,,,,7,26
CIS    50 Total,,17,3,7,2,3,,,,1,,17,50
CIS    51,BOLANDHEMAT F,15,5,1,,1,,,,1,,8,31
"",CLARK G B,5,2,1,,4,,,,,,4,16
CIS    51 Total,,20,7,2,,5,,,,1,,12,47
CIS    54,CLARK G B,19,8,2,,3,,,,,,,32
CIS    54 Total,,19,8,2,,3,,,,,,,32
CIS    55 Total,,4,2,,,,,,,,,,6
CIS    59A,EL-KHOURY N R,7,4,1,2,6,,,,,,5,25
CIS    59A Total,,7,4,1,2,6,,,,,,5,25
CIS    60A,VALDIVIA O,5,6,,1,1,,,,,,6,19
CIS    60A Total,,5,6,,1,1,,,,,,6,19
CIS    64,VALDIVIA O,14,,1,,3,,,,,,3,21
CIS    64 Total,,14,,1,,3,,,,,,3,21
CIS    67,CHABAN M,10,6,2,,1,,,,,,4,23
"",CLARK G B,15,3,,,6,,,,1,,1,26
CIS    67 Total,,25,9,2,,7,,,,1,,5,49
CIS    70,ROTHAUPT B L,19,10,2,1,5,,,,,,6,43
CIS    70 Total,,19,10,2,1,5,,,,,,6,43
CIS    88A,STAHL H A,2,,,,,,,,,,,2
CIS    88A Total,,2,,,,,,,,,,,2
CS      3,BOLANDHEMAT F,69,25,13,5,10,,,,,,31,153
"",ESHAGHIAN M M,28,12,6,4,9,,,,,,27,86
"",HURLEY D P,17,10,6,3,2,,,,,,21,59
"",KURTZ K A,24,21,9,3,6,,1,,,,9,73
"",MARCHAND K A,27,8,,,,,,,,,2,37
"",SUPAT W,25,16,9,4,13,,,,,,4,71
CS      3 Total,,190,92,43,19,40,,1,,,,94,479
CS      7,SENO V T,8,,3,1,5,,,3,,,5,25
CS      7 Total,,8,,3,1,5,,,3,,,5,25
CS      9A,DARWICHE J,6,2,1,,,,,,,,5,14
CS      9A Total,,6,2,1,,,,,,,,5,14
CS     15,DARWICHE J,11,7,3,2,13,,,,,,17,53
"",HOTSINPILLER S S,3,3,5,,,,,,,,9,20
CS     15 Total,,14,10,8,2,13,,,,,,26,73
CS     17,HAGHOO M,24,12,3,1,8,,,1,,,20,69
CS     17 Total,,24,12,3,1,8,,,1,,,20,69
CS     19,PATEL M,4,2,2,1,9,,,1,,,9,28
CS     19 Total,,4,2,2,1,9,,,1,,,9,28
CS     20A,MANGUL S,20,1,,,,,,,,,4,25
CS     20A Total,,37,17,11,2,6,,,,,,17,90
CS     20B,KALISCH N A,9,6,5,2,4,,,,,,10,36
CS     20B Total,,9,6,5,2,4,,,,,,10,36
CS     30,DARWICHE J,15,3,3,,2,,1,,,,7,31
CS     30 Total,,15,3,3,,2,,1,,,,7,31
CS     40,MORGAN D B,14,5,2,,6,,,,1,,14,42
CS     40 Total,,14,5,2,,6,,,,1,,14,42
CS     42,ESHAGHIAN M M,7,4,1,3,5,,,,1,,14,35
CS     42 Total,,7,4,1,3,5,,,,1,,14,35
CS     50,DARWICHE J,17,7,6,1,3,,,,,,32,66
"",DEHKHODA A,37,26,3,5,7,,,1,,,38,117
"",ESHAGHIAN M M,20,11,6,6,3,,,,,,27,73
"",MARCHAND K A,16,3,,,,,1,,,,,20
CS     50 Total,,90,47,15,12,13,,1,1,,,97,276
CS     52,AMBROSIO E A,10,9,3,2,5,,,,,,7,36
"",BISHOP M S,8,11,8,4,10,,,,,,39,80
"",EDMONDS M,27,5,2,1,1,,,,,,8,44
"",RATTANASOOK H,10,10,5,2,3,,,,,,7,37
CS     52 Total,,55,35,18,9,19,,,,,,61,197
CS     53A,DEHKHODA A,14,6,,,3,,,,,,5,28
CS     53A Total,,14,6,,,3,,,,,,5,28
CS     55,DEHKHODA A,30,26,3,3,7,,,,,,15,84
"",RATTANASOOK H,21,8,3,1,2,,,1,,,1,37
CS     55 Total,,51,34,6,4,9,,,1,,,16,121
CS     56,DEHKHODA A,20,17,,1,1,,,,,,6,45
CS     56 Total,,20,17,,1,1,,,,,,6,45
CS     60,SHARMA V D,25,1,1,1,2,,,,,,3,33
CS     60 Total,,25,1,1,1,2,,,,,,3,33
CS     65,SHARMA V D,6,,1,,,,,,,,6,13
CS     65 Total,,6,,1,,,,,,,,6,13
CS     70,MORGAN D B,11,6,2,,2,,,1,,,4,26
CS     70 Total,,11,6,2,,2,,,1,,,4,26
CS     79A,KOL K T,28,13,4,2,9,,,,2,,6,64
CS     79A Total,,58,25,9,2,17,,,,2,,17,130
CS     79B,STAHL H A,69,10,5,1,5,,1,1,1,,21,114
CS     79B Total,,69,10,5,1,5,,1,1,1,,21,114
CS     79C,SENO V T,21,3,,,3,,,,,,2,29
CS     79C Total,,21,3,,,3,,,,,,2,29
CS     79D,SENO V T,24,4,,,,,1,,1,,2,32
CS     79D Total,,24,4,,,,,1,,1,,2,32
CS     80,BISHOP M S,8,6,4,8,11,,,,,,23,60
"",EDMONDS M,19,3,1,1,3,,,,,,9,36
CS     80 Total,,27,9,5,9,14,,,,,,32,96
CS     81,SENO V T,40,6,1,,8,,2,,,,13,70
CS     81 Total,,40,6,1,,8,,2,,,,13,70
CS     85,SENO V T,15,2,4,,4,,,,,,1,26
CS     85 Total,,15,2,4,,4,,,,,,1,26
CS     87A,BISHOP M S,6,5,7,,6,,,,1,,9,34
"",DARWICHE J,22,4,,,,,1,,1,,5,33
CS     87A Total,,28,9,7,,6,,1,,2,,14,67
CS     88B,STAHL H A,,,,,,,,,,,1,1
CS     88B Total,,,,,,,,,,,,1,1
CS     90A,STAHL H A,,,,,,,,,1,,,1
CS     90A Total,,,,,,,,,,1,,,1
CS     90C,STAHL H A,,,,,,,,,1,,,1
CS     90C Total,,,,,,,,,,1,,,1
OFTECH  1,REED A M,15,,,1,5,,,,,,6,27
OFTECH  1 Total,,15,,,1,5,,,,,,6,27
OFTECH  1A,REED A M,31,1,1,,13,,,,,,10,56
OFTECH  1A Total,,31,1,1,,13,,,,,,10,56
OFTECH  1B,REED A M,11,,,1,3,,,,,,3,18
OFTECH  1B Total,,11,,,1,3,,,,,,3,18
OFTECH  1C,REED A M,3,1,,,4,,,,,,1,9
OFTECH  1C Total,,3,1,,,4,,,,,,1,9
OFTECH  5,MANTABE P,11,6,4,1,,,,1,,,9,32
OFTECH  5 Total,,11,6,4,1,,,,1,,,9,32
OFTECH  9 Total,,4,,,,1,,,,,,,5
OFTECH 20,REED A M,17,1,1,,3,,,,,,4,26
OFTECH 20 Total,,17,1,1,,3,,,,,,4,26
OFTECH 21,REED A M,12,1,,,7,,,,,,2,22
OFTECH 21 Total,,12,1,,,7,,,,,,2,22
OFTECH 23,WILLIAMSON TE D,13,2,,2,2,,,,,,2,21
OFTECH 23 Total,,13,2,,2,2,,,,,,2,21
OFTECH 25,WILLIAMSON TE D,6,1,3,1,4,,,,,,3,18
OFTECH 25 Total,,6,1,3,1,4,,,,,,3,18
OFTECH 30,MANTABE P,7,5,1,5,1,,,1,,,7,27
OFTECH 30 Total,,7,5,1,5,1,,,1,,,7,27
"",,1506,573,257,115,345,,8,12,18,,748,3582
DANCE   2,DOUGLAS JUDITH G,84,37,10,1,6,,,,1,,12,151
"",GONZALEZ G,82,21,7,6,9,,,1,1,,6,133
"",VAN WORMER V M,6,3,3,3,1,,,,,,15,31
DANCE   2 Total,,172,61,20,10,16,,,1,2,,33,315
DANCE   5,DOUGLAS JUDITH G,32,17,3,1,5,,,,,,2,60
"",LEE J Y,12,22,9,4,24,,,,1,,23,95
"",TOMASIC M T,17,6,4,1,5,,,,,,11,44
DANCE   5 Total,,61,45,16,6,34,,,,1,,36,199
DANCE  10,AYBAY OWENS S,9,2,,,,,,,,,5,16
"",TOMASIC M T,,5,4,2,5,,,,,,3,19
"",WOLIN-TUPAS R L,12,2,,1,,,,,,,3,18
DANCE  10 Total,,21,9,4,3,5,,,,,,11,53
DANCE  11,JORDAN A N,21,4,4,,1,,,,1,,8,39
DANCE  11 Total,,21,4,4,,1,,,,1,,8,39
DANCE  17,ZEE S L,9,2,2,,2,,,,1,,4,20
DANCE  17 Total,,9,2,2,,2,,,,1,,4,20
DANCE  18,ZEE S L,7,1,1,,1,,,,1,,4,15
DANCE  18 Total,,7,1,1,,1,,,,1,,4,15
DANCE  20,CANELLIAS L M,7,4,,,5,,,2,,,3,21
DANCE  20 Total,,7,4,,,5,,,2,,,3,21
DANCE  21,A/SUSILOWATI S,9,2,,,,,,,,,2,13
DANCE  21 Total,,9,2,,,,,,,,,2,13
DANCE  22,RAMIREZ R V,5,2,3,,1,,,,1,,3,15
DANCE  22 Total,,5,2,3,,1,,,,1,,3,15
DANCE  23,RAMIREZ R V,1,1,,,,,,,,,1,3
DANCE  23 Total,,1,1,,,,,,,,,1,3
DANCE  24,OCAMPO C,7,3,1,3,2,,,,1,,4,21
DANCE  24 Total,,7,3,1,3,2,,,,1,,4,21
DANCE  25,JORDAN A N,9,5,1,1,2,,,,,,3,21
DANCE  25 Total,,9,5,1,1,2,,,,,,3,21
DANCE  31,GAYDOS S C,13,7,1,1,,,,,,,9,31
"",MOLNAR CY A,23,6,1,3,5,,,2,,,15,55
DANCE  31 Total,,36,13,2,4,5,,,2,,,24,86
DANCE  32,GAYDOS S C,9,3,,,1,,,,1,,4,18
"",MOLNAR CY A,9,4,1,,2,,,,,,5,21
DANCE  32 Total,,18,7,1,,3,,,,1,,9,39
DANCE  33,"RICHARDS C R/VAN
WORMER V M",4,2,4,,1,,,,,,,11
DANCE  33 Total,,4,2,4,,1,,,,,,,11
DANCE  34,"RICHARDS C R/VAN
WORMER V M",6,1,3,,1,,,,,,1,12
DANCE  34 Total,,6,1,3,,1,,,,,,1,12
DANCE  35,LEE J Y/RICHARDS C R,7,5,,2,3,,,,,,1,18
DANCE  35 Total,,7,5,,2,3,,,,,,1,18
DANCE  36,LEE J Y/RICHARDS C R,2,,,,1,,,,,,1,4
DANCE  36 Total,,2,,,,1,,,,,,1,4
DANCE  41,AYBAY OWENS S,6,2,,1,2,,,,,,6,17
"",MCDONALD K E,16,2,,,5,,,,1,,5,29
DANCE  41 Total,,22,4,,1,7,,,,1,,11,46
DANCE  42,JEAN C A,10,,1,,2,,,,,,,13
"",MCDONALD K E,9,3,,,1,,,,,,4,17
DANCE  42 Total,,19,3,1,,3,,,,,,4,30
DANCE  43,TOMASIC M T,7,3,,,1,,,,,,1,12
DANCE  44,TOMASIC M T,3,2,,,,,,,,,1,6
DANCE  44 Total,,3,2,,,,,,,,,1,6
DANCE  45,"AYBAY OWENS
S/MCDONALD K E",10,1,1,,4,,,,,,2,18
DANCE  45 Total,,10,1,1,,4,,,,,,2,18
DANCE  46,"AYBAY OWENS
S/MCDONALD K E",1,,,,1,,1,,,,,3
DANCE  46 Total,,1,,,,1,,1,,,,,3
DANCE  55A,LEE J Y/TOMASIC M T,16,3,1,,,,,,,,,20
DANCE  55A Total,16,3,1,,,,,,,,,20,
DANCE  57A,RAMIREZ R V,9,7,,,,,,,,,2,18
DANCE  57A Total,9,7,,,,,,,,,2,18,
DANCE  59A,"JESSWEIN J N/WALKER
C Y",24,,,,,,,,,,,24
DANCE  59A Total,24,,,,,,,,,,,24,
